0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
52   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/vagrant/centinela/centinela/jetty/contexts at interval 0
93   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/vagrant/centinela/centinela/jetty/contexts/solr.xml
10080 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
10187 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
10219 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
10220 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/vagrant/centinela/centinela/jetty/solr
10221 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/vagrant/centinela/centinela/jetty/solr/'
10240 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/mysql-connector-java-5.1.30-bin.jar' to classloader
10243 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/' to classloader
10246 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
10249 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
10250 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-dataimporthandler-4.6.0.jar' to classloader
10252 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
10548 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/vagrant/centinela/centinela/jetty/solr/solr.xml
10774 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 15678347
10776 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/vagrant/centinela/centinela/jetty/solr/]
10777 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/vagrant/centinela/centinela/jetty/solr/lib
10788 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/mysql-connector-java-5.1.30-bin.jar' to classloader
10790 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/' to classloader
10792 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
10793 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
10795 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-dataimporthandler-4.6.0.jar' to classloader
10797 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
